iter	Passed	Remaining
390	11870	6618
391	11901	6588
392	11933	6558
393	11964	6529
394	11995	6498
395	12024	6467
396	12053	6436
397	12083	6405
398	12113	6375
399	12144	6345
400	12172	6313
401	12202	6283
402	12234	6253
403	12267	6224
404	12299	6195
405	12331	6165
406	12363	6136
407	12396	6107
408	12427	6076
409	12457	6046
410	12491	6017
411	12523	5988
412	12556	5958
413	12588	5929
414	12618	5898
415	12648	5868
416	12677	5837
417	12706	5806
418	12737	5776
419	12767	5745
420	12797	5714
421	12828	5684
422	12858	5653
423	12888	5623
424	12918	5592
425	12949	5562
426	12979	5532
427	13010	5502
428	13040	5471
429	13071	5441
430	13103	5411
431	13135	5381
432	13167	5352
433	13197	5321
434	13227	5290
435	13257	5260
436	13287	5229
437	13317	5199
438	13348	5169
439	13378	5138
440	13407	5107
441	13438	5077
442	13468	5046
443	13498	5016
444	13526	4985
445	13555	4954
446	13583	4922
447	13613	4892
448	13643	4861
449	13677	4832
450	13709	4802
451	13742	4773
452	13773	4743
453	13803	4712
454	13833	4681
455	13862	4651
456	13892	4620
457	13924	4590
458	13955	4560
459	13986	4530
460	14015	4499
461	14046	4469
462	14076	4438
463	14106	4408
464	14136	4377
465	14169	4348
466	14204	4319
467	14240	4290
468	14275	4261
469	14309	4231
470	14345	4203
471	14380	4174
472	14416	4145
473	14451	4115
474	14485	4086
475	14521	4057
476	14555	4027
477	14590	3998
478	14623	3968
479	14664	3941
480	14702	3912
481	14740	3883
482	14778	3855
483	14814	3825
484	14855	3798
485	14889	3768
486	14925	3739
487	14962	3709
488	14998	3680
489	15033	3650
490	15065	3620
491	15097	3590
492	15128	3559
493	15142	3525
494	15175	3494
495	15207	3464
496	15238	3434
497	15268	3403
498	15298	3372
499	15330	3341
500	15360	3311
501	15363	3274
502	15398	3245
503	15429	3214
504	15462	3184
505	15499	3155
506	15532	3124
507	15563	3094
508	15600	3064
509	15636	3035
510	15668	3004
511	15700	2974
512	15730	2943
513	15761	2913
514	15793	2882
515	15824	2852
516	15855	2821
517	15885	2790
518	15916	2760
519	15944	2728
520	15975	2698
521	16006	2667
522	16038	2637
523	16069	2606
524	16100	2576
525	16132	2545
526	16162	2514
527	16193	2484
528	16221	2453
529	16251	2422
530	16282	2391
531	16313	2361
532	16343	2330
533	16374	2299
534	16406	2269
535	16438	2238
536	16469	2208
537	16498	2177
538	16529	2146
539	16558	2115
540	16588	2085
541	16620	2054
542	16652	2024
543	16684	1993
544	16716	1963
545	16748	1932
546	16778	1901
547	16808	1871
548	16840	1840
549	16870	1809
550	16901	1779
551	16930	1748
552	16961	1717
553	16989	1686
554	17019	1655
555	17050	1625
556	17080	1594
557	17110	1563
558	17140	1533
559	17172	1502
560	17203	1471
561	17239	1441
562	17271	1411
563	17304	1380
564	17336	1350
565	17367	1319
566	17397	1288
567	17427	1257
568	17458	1227
569	17490	1196
570	17519	1165
571	17547	1135
572	17578	1104
573	17609	1073
574	17639	1043
575	17670	1012
576	17699	981
577	17730	950
578	17761	920
579	17793	889
580	17823	858
581	17854	828
582	17887	797
583	17919	767
584	17950	736
585	17981	705
586	18010	674
587	18041	644
588	18072	613
589	18103	582
590	18132	552
591	18162	521
592	18193	490
593	18224	460
594	18253	429
595	18283	398
596	18313	368
597	18343	337
598	18374	306
599	18405	276
600	18437	245
601	18468	214
602	18509	184
603	18545	153
604	18575	122
605	18605	92
606	18636	61
607	18667	30
608	18699	0
