iter	RMSE
121	0.518223174
122	0.5180686642
123	0.5179471116
124	0.5178582165
125	0.5176337492
126	0.517521091
127	0.5173978251
128	0.5172958476
129	0.5171939368
130	0.5170683004
131	0.5169301834
132	0.5168114433
133	0.5166707429
134	0.5165693927
135	0.5163957934
136	0.5163380559
137	0.5162156587
138	0.5161321151
139	0.5160169548
140	0.5159344668
141	0.515791347
142	0.5157014986
143	0.5154725938
144	0.5153133404
145	0.5151658531
146	0.5149290555
147	0.5148388563
148	0.5147281359
149	0.5145855146
150	0.5145037492
151	0.5144313544
152	0.5143574656
153	0.5142058117
154	0.5140547416
155	0.51400083
156	0.5138550792
157	0.5137391175
158	0.5136479531
159	0.5134000417
160	0.5132946735
161	0.5131919098
162	0.513012385
163	0.51287589
164	0.5127091074
165	0.5125051302
166	0.5124135863
167	0.5123104453
168	0.5122082704
169	0.5121630961
170	0.5120267583
171	0.5119247278
172	0.5117460268
173	0.5117010534
174	0.5115827599
175	0.5114973521
176	0.5114450969
177	0.5112995178
178	0.5112193565
179	0.5111263698
180	0.5110170201
181	0.5108618343
182	0.5107750213
183	0.5107161514
184	0.510627465
185	0.5105239025
186	0.5103754007
187	0.5102921107
188	0.5102224439
189	0.510129028
190	0.5100604937
191	0.5100004393
192	0.5098552742
193	0.5097582671
194	0.5096211393
195	0.509494129
196	0.5093021912
197	0.5092299397
198	0.5090023554
199	0.5089832412
200	0.5088737078
201	0.508799091
202	0.5086838414
203	0.5085933519
204	0.5084555775
205	0.5082711001
206	0.5081744653
207	0.5080819627
208	0.507996332
209	0.5078806569
210	0.5078052468
211	0.5076878828
212	0.5075269198
213	0.5074638027
214	0.5074223795
215	0.5072719359
216	0.5071368726
217	0.5069984624
218	0.5068845304
219	0.5068458412
220	0.5067794422
221	0.5067002575
222	0.506599359
223	0.5065214637
224	0.5064272773
225	0.5063769143
226	0.5063293786
227	0.5062192703
228	0.5061478667
229	0.5060334357
230	0.5059832345
231	0.5058930066
232	0.505793645
233	0.5056730029
234	0.5055864054
235	0.50548646
236	0.5053884058
237	0.5052688922
238	0.5050466506
239	0.5049159701
240	0.5048590974
241	0.5047513276
242	0.5045867793
243	0.5045541516
244	0.5044628266
245	0.5043691662
246	0.5043071311
247	0.5041478308
248	0.5040801189
249	0.5040056299
250	0.5039011165
251	0.503843316
252	0.5037400464
253	0.5035991793
254	0.5035051391
255	0.5033506069
256	0.503243227
257	0.5031232363
258	0.503057016
259	0.5029937628
260	0.5029011092
261	0.5028364926
262	0.5027590544
263	0.5026245218
264	0.5025692928
265	0.5025338911
266	0.5024515452
267	0.5023761075
268	0.5022354912
269	0.5021653869
270	0.5020931337
271	0.5020139019
272	0.5019231849
273	0.501770906
274	0.5016610339
275	0.5015863763
276	0.501506686
277	0.5014228749
278	0.5012946972
279	0.5011470087
280	0.5010472708
281	0.5009115976
282	0.5007900296
283	0.5006844291
284	0.5005889447
285	0.5004883999
286	0.5003586224
287	0.5002526987
288	0.5001637531
289	0.5000914313
290	0.4999614368
291	0.499811999
292	0.4996924614
293	0.4996192482
294	0.4995366446
295	0.4994746085
296	0.4994182792
297	0.4993578858
298	0.4992387501
299	0.4990968768
300	0.4989347234
301	0.4988436327
302	0.4987743429
303	0.4987121993
304	0.498594654
305	0.4984932329
306	0.4984305818
307	0.4982728563
308	0.4981037217
309	0.4980063097
310	0.4979015386
311	0.4978115018
312	0.4977046904
313	0.4976269478
314	0.4975196581
315	0.497478771
316	0.4973175071
317	0.4972112893
318	0.4970481618
319	0.4969420564
320	0.4968177989
321	0.4967967662
322	0.4967270749
323	0.4966316103
324	0.49654391
325	0.4964840605
326	0.4964041857
327	0.4963301935
328	0.4962868691
329	0.4961158819
330	0.4959724312
331	0.4958964656
332	0.4957454515
333	0.4956774759
334	0.4955760859
335	0.4955246256
336	0.4954445109
337	0.4952961642
338	0.495207769
339	0.4951539988
340	0.4950965701
341	0.4950014081
342	0.4948526816
343	0.4947731502
344	0.4946483958
345	0.4945660548
346	0.4944634237
347	0.494323847
348	0.4942289647
349	0.4940928743
350	0.4939373552
351	0.493820027
352	0.4937233407
353	0.4936671388
354	0.4936071685
355	0.493536272
356	0.4934676396
357	0.4933693864
358	0.4932423961
359	0.4931644802
360	0.4930726925
361	0.4929633958
362	0.4928704282
363	0.4927684387
364	0.4926917885
365	0.4925980653
366	0.4925606825
367	0.4925466073
368	0.4925140642
369	0.4924245193
370	0.4923679937
371	0.4922593865
372	0.4922232643
373	0.4921332388
374	0.4920520844
375	0.4919065462
376	0.4917984831
377	0.4917249084
378	0.4916501093
379	0.4915803638
380	0.4914902438
381	0.4913968643
382	0.4913288793
383	0.4912589081
384	0.4912105219
385	0.4910916843
386	0.490959991
387	0.4908502805
388	0.4907663615
389	0.4907209617
390	0.4906982973
391	0.4905079733
392	0.4904432151
393	0.4903109047
394	0.490221793
395	0.4900367624
396	0.4899666048
397	0.489838313
398	0.4898247201
399	0.4897862413
400	0.4896981411
401	0.4896240826
402	0.4895637536
403	0.4894320181
404	0.4892847995
405	0.4892280465
406	0.4891119215
407	0.489014423
408	0.4888858974
409	0.4886778596
410	0.4885709826
411	0.488445737
412	0.4883586924
413	0.4883054703
414	0.4882363547
415	0.488148073
416	0.488067448
417	0.487945599
418	0.4878305541
419	0.487770557
420	0.4877562816
421	0.4876310821
422	0.4874928544
423	0.4873836354
424	0.4873216708
425	0.4872064327
426	0.4871446361
427	0.4870614848
428	0.4869419745
429	0.4867522129
430	0.4866959559
431	0.486616729
432	0.4865368767
433	0.4864291802
434	0.4863599935
435	0.4862791618
436	0.4861938124
437	0.4860990662
438	0.4860507443
439	0.4859400706
440	0.4858657844
441	0.4856456043
442	0.4855374765
443	0.4854889526
444	0.4853988081
445	0.4853009895
446	0.4852226483
447	0.4851131981
448	0.485041751
449	0.4849644743
450	0.4848413981
451	0.4846563839
452	0.4845698685
453	0.4844738117
454	0.4843627909
455	0.4842505517
456	0.4841069039
457	0.4841059571
458	0.4840299377
459	0.4839514451
460	0.4838505709
461	0.483744262
462	0.483651096
463	0.4834584238
464	0.4833965739
465	0.4832916398
466	0.4831681446
467	0.4830765943
468	0.4830252284
469	0.4829593474
470	0.4828248182
471	0.4826957756
472	0.4826327733
473	0.4826161428
474	0.4825355452
475	0.4824126407
476	0.4823209661
477	0.4822652467
478	0.4822154283
479	0.482194043
480	0.4820689077
481	0.4820108571
482	0.481937485
483	0.4817994736
484	0.4817338294
485	0.4817211551
486	0.4816298347
487	0.4815461424
488	0.4814781044
489	0.4814520856
490	0.4813786446
491	0.4813684099
492	0.4812517318
493	0.4812452829
494	0.481151033
495	0.4810206633
496	0.4808999875
497	0.4808406471
498	0.4807847585
499	0.4807201648
500	0.4806018703
501	0.4805980501
502	0.4804643537
503	0.480383679
504	0.4802911563
505	0.4802295379
506	0.4801566161
507	0.4800209467
508	0.4799464973
509	0.479929762
510	0.4797978855
511	0.4797268277
512	0.4796149399
513	0.4795963655
514	0.4794456437
515	0.4793457797
516	0.4791157649
517	0.4790606159
518	0.4789710882
519	0.4788838736
520	0.4787503523
521	0.478538109
522	0.4784060173
523	0.4783258989
524	0.4782408499
525	0.4781328028
526	0.4779933107
527	0.4779224554
528	0.4778360789
529	0.4777703329
530	0.4776598988
531	0.4775537555
532	0.4774685717
533	0.4774060986
534	0.4773826994
535	0.4773235444
536	0.4772757957
537	0.4772094045
538	0.477117675
539	0.4770540668
540	0.4769458586
541	0.4768421324
542	0.4767267803
543	0.4766462324
544	0.4766026991
545	0.4765502821
546	0.4764794105
547	0.4763717199
548	0.476252474
549	0.4760896516
550	0.4760742204
551	0.4760323221
552	0.4759465907
553	0.4758216509
554	0.4758148785
555	0.4757154746
556	0.4756449218
557	0.4755969727
558	0.475503137
559	0.4753580234
560	0.4752401375
561	0.475152332
562	0.4750917856
563	0.4750207683
564	0.4749342767
565	0.4748081021
566	0.47473555
567	0.4745945097
568	0.4745136322
569	0.4744445864
570	0.4744149034
571	0.4743533157
572	0.4743121918
573	0.4742536301
574	0.4741526752
575	0.4740085683
576	0.4739246143
577	0.4738273777
578	0.4737135754
579	0.4736636513
580	0.4735580843
581	0.4734672694
582	0.4734021355
583	0.4733058973
584	0.4732180074
585	0.4731933792
586	0.4731135728
587	0.4730706618
588	0.4729256746
589	0.4727823477
590	0.4727133601
591	0.4726284176
592	0.4725739269
593	0.472478694
594	0.4723712003
595	0.4722443749
596	0.4721385513
597	0.4720581462
598	0.4719477316
599	0.4718434473
600	0.4717716699
601	0.4717330186
602	0.4717075738
603	0.4715774457
604	0.471499945
605	0.471453004
606	0.4714016311
607	0.4713263699
608	0.4712354771
